항공사명,출발시간,도착시간,가격
아시아나항공,10:30,11:45,60700
아시아나항공,10:30,11:45,100700
아시아나항공,10:30,11:45,137700
제주항공,10:35,11:50,55600
제주항공,10:35,11:50,81700
아시아나항공,10:55,12:10,60700
아시아나항공,10:55,12:10,100700
아시아나항공,10:55,12:10,137700
대한항공,11:10,12:25,59700
대한항공,11:10,12:25,82700
대한항공,11:10,12:25,128700
에어부산,11:15,12:35,52740
에어부산,11:15,12:35,83700
아시아나항공,11:15,12:35,100700
대한항공,11:20,12:35,59700
대한항공,11:20,12:35,82700
대한항공,11:20,12:35,128700
아시아나항공,11:25,12:40,56700
아시아나항공,11:25,12:40,100700
아시아나항공,11:25,12:40,137700
이스타항공,11:35,12:50,48100
이스타항공,11:35,12:50,81600
제주항공,11:55,13:10,36400
제주항공,11:55,13:10,46600
제주항공,11:55,13:10,81700
제주항공,12:00,13:15,45400
제주항공,12:00,13:15,81700
아시아나항공,12:05,13:20,52700
아시아나항공,12:05,13:20,56700
아시아나항공,12:05,13:20,100700
아시아나항공,12:05,13:20,137700
대한항공,12:10,13:25,42700
대한항공,12:10,13:25,82700
대한항공,12:10,13:25,128700
대한항공,12:10,13:25,157700
대한항공,12:15,13:35,39700
대한항공,12:15,13:35,82700
대한항공,12:15,13:35,128700
대한항공,12:15,13:35,157700
아시아나항공,12:25,13:40,52700
아시아나항공,12:25,13:40,56700
아시아나항공,12:25,13:40,100700
아시아나항공,12:25,13:40,137700
이스타항공,12:30,13:45,38400
이스타항공,12:30,13:45,81600
대한항공,12:40,13:55,42700
대한항공,12:40,13:55,82700
대한항공,12:40,13:55,128700
제주항공,12:50,14:05,30600
제주항공,12:50,14:05,81700
제주항공,12:55,14:10,30600
이스타항공,12:55,14:10,38400
이스타항공,12:55,14:10,81600
제주항공,12:55,14:10,81700
티웨이항공,13:00,14:15,35800
티웨이항공,13:00,14:15,82600
대한항공,13:10,14:25,39700
대한항공,13:10,14:25,82700
대한항공,13:10,14:25,128700
대한항공,13:10,14:25,157700
아시아나항공,13:35,14:50,38700
아시아나항공,13:35,14:50,56700
아시아나항공,13:35,14:50,100700
아시아나항공,13:35,14:50,137700
진에어,13:40,14:55,29600
진에어,13:40,14:55,33600
제주항공,13:40,14:55,36400
진에어,13:40,14:55,81600
제주항공,13:40,14:55,81700
티웨이항공,13:45,15:00,39600
티웨이항공,13:45,15:00,82600
이스타항공,13:50,15:05,36400
이스타항공,13:50,15:05,81600
대한항공,13:55,15:10,39700
대한항공,13:55,15:10,82700
대한항공,13:55,15:10,128700
대한항공,13:55,15:10,157700
대한항공,14:00,15:15,36700
대한항공,14:00,15:15,82700
대한항공,14:00,15:15,128700
대한항공,14:00,15:15,157700
티웨이항공,14:05,15:20,30200
대한항공,14:05,15:20,36700
티웨이항공,14:05,15:20,82600
대한항공,14:10,15:20,36700
대한항공,14:10,15:20,82700
대한항공,14:10,15:20,128700
대한항공,14:10,15:20,157700
아시아나항공,14:15,15:30,34700
아시아나항공,14:15,15:30,56700
아시아나항공,14:15,15:30,100700
아시아나항공,14:15,15:30,137700
아시아나항공,14:20,15:35,31700
아시아나항공,14:20,15:35,56700
아시아나항공,14:20,15:35,100700
아시아나항공,14:20,15:35,137700
제주항공,14:35,15:50,27600
진에어,14:35,15:50,29600
아시아나항공,14:35,15:50,31700
진에어,14:35,15:50,33600
대한항공,14:35,15:50,51700
아시아나항공,14:35,15:50,56700
진에어,14:35,15:50,77200
제주항공,14:35,15:50,81700
아시아나항공,14:35,15:50,100700
대한항공,14:35,15:50,105700
아시아나항공,14:35,15:50,137700
이스타항공,14:40,15:55,30300
이스타항공,14:40,15:55,81600
아시아나항공,14:45,16:00,34700
아시아나항공,14:45,16:00,56700
아시아나항공,14:45,16:00,100700
아시아나항공,14:45,16:00,137700
제주항공,14:55,16:10,33600
제주항공,14:55,16:10,81700
아시아나항공,15:10,16:25,33700
아시아나항공,15:10,16:25,54700
아시아나항공,15:10,16:25,97700
아시아나항공,15:10,16:25,133700
아시아나항공,15:15,16:30,30700
아시아나항공,15:15,16:30,54700
아시아나항공,15:15,16:30,97700
아시아나항공,15:15,16:30,133700
아시아나항공,15:20,16:35,30700
아시아나항공,15:20,16:35,54700
아시아나항공,15:20,16:35,97700
아시아나항공,15:20,16:35,133700
티웨이항공,15:40,16:55,30600
제주항공,15:40,17:00,30600
대한항공,15:40,16:55,36700
제주항공,15:40,17:00,81700
티웨이항공,15:40,16:55,82600
대한항공,15:40,16:55,82700
대한항공,15:40,16:55,128700
대한항공,15:40,16:55,153700
이스타항공,15:45,17:00,30300
이스타항공,15:45,17:00,81600
제주항공,16:00,17:15,24600
제주항공,16:00,17:15,81700
제주항공,16:35,18:00,24600
제주항공,16:35,18:00,81700
대한항공,16:40,17:50,36700
대한항공,16:40,17:50,82700
대한항공,16:40,17:50,128700
대한항공,16:40,17:50,153700
이스타항공,16:50,18:05,28300
이스타항공,16:50,18:05,81600
대한항공,17:15,18:30,36700
대한항공,17:15,18:30,82700
대한항공,17:15,18:30,128700
대한항공,17:15,18:30,153700
아시아나항공,17:20,18:35,30700
티웨이항공,17:20,18:35,32700
아시아나항공,17:20,18:35,54700
티웨이항공,17:20,18:35,82600
아시아나항공,17:20,18:35,97700
아시아나항공,17:20,18:35,133700
티웨이항공,17:25,18:40,26300
티웨이항공,17:25,18:40,82600
에어부산,17:40,18:55,37230
에어부산,17:40,18:55,80700
진에어,17:55,19:10,25600
진에어,17:55,19:10,33600
대한항공,17:55,19:10,49700
진에어,17:55,19:10,77200
대한항공,17:55,19:10,105700
에어부산,18:05,19:20,24120
에어부산,18:05,19:20,80700
제주항공,18:20,19:35,24600
제주항공,18:20,19:35,81700
이스타항공,18:30,19:45,24200
아시아나항공,18:30,19:45,27700
아시아나항공,18:30,19:45,54700
이스타항공,18:30,19:45,81600
아시아나항공,18:30,19:45,97700
아시아나항공,18:30,19:45,133700
티웨이항공,18:35,19:50,24300
아시아나항공,18:35,19:50,24700
아시아나항공,18:35,19:50,54700
티웨이항공,18:35,19:50,82600
아시아나항공,18:35,19:50,97700
아시아나항공,18:35,19:50,133700
아시아나항공,18:40,19:55,24700
아시아나항공,18:40,19:55,54700
아시아나항공,18:40,19:55,97700
아시아나항공,18:40,19:55,133700
대한항공,18:45,20:00,36700
대한항공,18:45,20:00,82700
대한항공,18:45,20:00,128700
대한항공,18:45,20:00,153700
대한항공,18:55,20:10,36700
대한항공,18:55,20:10,82700
대한항공,18:55,20:10,128700
대한항공,18:55,20:10,153700
아시아나항공,19:00,20:15,30700
대한항공,19:00,20:15,36700
아시아나항공,19:00,20:15,54700
대한항공,19:00,20:15,82700
아시아나항공,19:00,20:15,97700
대한항공,19:00,20:15,128700
아시아나항공,19:00,20:15,133700
대한항공,19:00,20:15,153700
제주항공,19:05,20:20,24600
티웨이항공,19:05,20:20,27300
제주항공,19:05,20:20,81700
티웨이항공,19:05,20:20,82600
제주항공,19:30,20:45,21800
제주항공,19:30,20:45,81700
이스타항공,19:35,20:50,24200
이스타항공,19:35,20:50,81600
이스타항공,19:55,21:10,22200
이스타항공,19:55,21:10,81600
진에어,20:00,21:15,21600
진에어,20:00,21:15,33600
진에어,20:00,21:15,77200
아시아나항공,20:20,21:35,27700
대한항공,20:20,21:35,36700
아시아나항공,20:20,21:35,54700
대한항공,20:20,21:35,82700
아시아나항공,20:20,21:35,97700
대한항공,20:20,21:35,128700
아시아나항공,20:20,21:35,133700
제주항공,20:25,21:40,24600
아시아나항공,20:25,21:40,27700
아시아나항공,20:25,21:40,54700
제주항공,20:25,21:40,81700
아시아나항공,20:25,21:40,97700
아시아나항공,20:25,21:40,133700
이스타항공,20:30,21:45,22200
아시아나항공,20:30,21:45,27700
대한항공,20:30,21:45,36700
아시아나항공,20:30,21:45,54700
이스타항공,20:30,21:45,81600
대한항공,20:30,21:45,82700
아시아나항공,20:30,21:45,97700
대한항공,20:30,21:45,128700
아시아나항공,20:30,21:45,133700
대한항공,20:30,21:45,153700
대한항공,20:40,21:55,36700
대한항공,20:40,21:55,82700
대한항공,20:40,21:55,128700
대한항공,20:40,21:55,153700
아시아나항공,21:00,22:15,27700
대한항공,21:00,22:15,36700
아시아나항공,21:00,22:15,54700
대한항공,21:00,22:15,82700
아시아나항공,21:00,22:15,97700
대한항공,21:00,22:15,128700
아시아나항공,21:00,22:15,133700
아시아나항공,21:30,22:45,30700
아시아나항공,21:30,22:45,54700
아시아나항공,21:30,22:45,97700
아시아나항공,21:30,22:45,133700
